date,A2C,DDPG,PPO,TD3,SAC
2022-01-12,187519.86498037734,251237.6523578264,185550.15152914447,188739.4794675447,250090.36330978415
2022-01-13,186481.11513296523,248909.28845096604,187311.63800985736,187796.27051368728,252705.01482955954
2022-01-14,187523.30661550918,250052.2892139055,187362.18808920306,188933.42976966873,257333.9214152529
2022-01-17,192623.43544546523,248481.20281864182,188542.47815878314,194050.58960548416,260564.49294845603
2022-01-18,185364.16200796523,240890.47032047287,186385.0980623476,186752.75928321853,258690.86849777243
2022-01-19,182162.69333425918,240956.91926456467,186153.631234955,183559.56740394607,253883.67928878806
2022-01-20,182667.8494316713,239443.3310382463,180975.9963472597,184051.3276883699,248189.82647506736
2022-01-21,180483.88857046523,230282.3114001848,177323.5115450136,181751.04675880447,248634.09847824118
2022-01-24,175436.5916191713,222367.79397464768,170295.30851156634,176660.68712440506,244527.343137665
2022-01-25,174155.71654287734,224539.21281314865,169410.724984955,175442.14713111892,244457.14291183493
2022-01-27,173981.67282029736,224314.71359687054,169241.413554352,175266.79230728163,244212.74541079733
2022-01-28,173296.3613470613,222269.42661038984,168316.05691964744,174485.70150692767,242616.08236360192
2022-01-31,176078.1067236482,225666.24893705,172619.8340345156,177247.0608361513,246381.5624007418
2022-02-01,183309.39793763746,233205.5667471086,173149.3684888613,184560.69123776263,255424.23974351524
2022-02-02,183126.1691947328,232972.41291541304,172976.2416425936,184376.1853650667,255168.8669312136
2022-02-03,181402.87932199112,228634.5451107866,169994.65610862756,182515.59452034015,250129.50733889794
2022-02-04,182975.092365204,227833.0405026323,168519.72797752405,184157.3791883089,251710.1958605349
2022-02-07,183682.5323676454,225036.73715790574,166006.31275535608,184999.92069221515,251952.11112847924
2022-02-08,182544.4627570497,224590.67941864792,168741.1130788424,183788.7024304964,251308.93614068627
2022-02-09,184332.94963449112,229398.46982392136,171126.59888816858,185682.85526252765,254458.53707757592
2022-02-10,183636.916583954,231282.82526215378,171387.2146413424,184900.94608284015,254494.2131487429
2022-02-11,180159.71455758682,228200.7094479448,170203.798076401,181273.4436414339,249371.10665765405
2022-02-14,174.3331488954127,548.3013974076839,59706.088176498655,54.40067268389976,211.87449517847296
2022-02-15,179113.7042426454,228440.06760224167,172285.14014524865,180437.07889534015,248934.0567919314
2022-02-16,176575.5018195497,228577.3880062944,171796.77716801479,177808.0139539339,246766.12982049584
2022-02-17,173339.400958954,227685.2326107866,173340.0251843722,174431.65897346515,243379.44430413842
2022-02-18,170167.57002633682,226789.12357147995,172009.9371716769,171149.33475471515,240789.82035699487
2022-02-21,167746.88643258682,224718.70340546433,170444.268760422,168729.3518445589,238787.85214105248
2022-02-22,166079.3807257997,222892.63907440964,170322.12454960658,167077.67948127765,236029.59015527368
2022-02-23,166901.1541632997,224112.6933956987,169333.31179020717,167906.61014534015,236987.72231164575
